"classification","num_incorrect","percentage"
"HHH","0",98.8936144450667
"HHH","1",1.10487203160237
"HHH","2",0.00151352333096215
"HHN","0",98.6556722036947
"HHN","1",1.34432779630529
"HHY","0",98.2055214723926
"HHY","1",1.79447852760736
"HNH","0",99.9886823416235
"HNH","1",0.0113176583764819
"HNN","0",99.8703912138886
"HNN","1",0.129608786111395
"HNY","0",98.1131058278074
"HNY","1",1.88689417219257
"HYH","0",98.9732969066714
"HYH","1",1.02670309332863
"HYN","0",99.4343434343434
"HYN","1",0.565656565656566
"HYY","0",98.2202127381544
"HYY","1",1.77978726184565
"NHH","0",88.149203921296
"NHH","1",11.8438434262671
"NHH","2",0.00695265243690468
"NHN","0",85.1607455591694
"NHN","1",14.8392544408306
"NHY","0",91.4064798083792
"NHY","1",8.25314115224608
"NHY","2",0.340379039374711
"NNH","0",87.9435731183738
"NNH","1",12.0564268816262
"NNN","0",86.3791198674277
"NNN","1",13.6116737249125
"NNN","2",0.00920640765973117
"NNY","0",93.2113787026936
"NNY","1",6.78862129730637
"NYH","0",85.2210130323794
"NYH","1",14.770030005822
"NYH","2",0.00895696179855793
"NYN","0",81.5578266643571
"NYN","1",18.4421733356429
"NYY","0",79.0255322262053
"NYY","1",20.9744677737947
"YHH","0",97.175260339812
"YHH","1",2.82473966018804
"YHN","0",98.015923164413
"YHN","1",1.98407683558701
"YHY","0",97.6432497552895
"YHY","1",2.35675024471049
"YNH","0",98.143197216627
"YNH","1",1.85680278337301
"YNN","0",97.4196896080004
"YNN","1",2.58031039199962
"YNY","0",95.7418705578967
"YNY","1",4.25812944210328
"YYH","0",96.1525459539404
"YYH","1",3.84745404605958
"YYN","0",99.0728659800144
"YYN","1",0.927134019985571
"YYY","0",97.426019118249
"YYY","1",2.51137704365414
"YYY","2",0.0626038380968433
